Planet Name,Type,Mass (Earth),Orbit Radius (AU),Discovery Year,Discovered By
Planet-6696,Exoplanet,915.19,71.552,1943,TESS
Planet-6697,Exoplanet,869.5,20.795,1904,Spitzer
Planet-6698,Exoplanet,343.16,24.621,1998,Voyager
Planet-6699,Ice Giant,264.77,67.716,2006,TESS
Planet-6700,Ice Giant,762.28,79.689,1941,Ground Telescope
Planet-6701,Dwarf Planet,4.43,69.946,1908,Hubble
Planet-6702,Exoplanet,813.41,88.9,1901,Spitzer
Planet-6703,Dwarf Planet,732.69,58.625,1930,Galileo
Planet-6704,Ice Giant,599.57,24.329,1917,Chandra
Planet-6705,Ice Giant,485.91,53.101,2003,Kepler
Planet-6706,Ice Giant,275.96,80.655,1948,James Webb
Planet-6707,Terrestrial,484.48,58.395,2005,James Webb
Planet-6708,Exoplanet,394.22,27.586,1945,Kepler
Planet-6709,Dwarf Planet,798.33,68.74,1981,Spitzer
Planet-6710,Exoplanet,613.71,49.709,1987,Voyager
Planet-6711,Exoplanet,681.95,27.749,1926,JWST
Planet-6712,Exoplanet,226.15,34.324,1940,JWST
Planet-6713,Ice Giant,151.52,5.176,1986,Galileo
Planet-6714,Terrestrial,397.33,98.51,1949,Spitzer
Planet-6715,Dwarf Planet,305.5,18.037,1933,JWST
Planet-6716,Dwarf Planet,627.29,7.462,1998,JWST
Planet-6717,Ice Giant,866.67,87.346,1917,Kepler
Planet-6718,Gas Giant,24.77,27.628,1980,Ground Telescope
Planet-6719,Dwarf Planet,570.51,40.128,1977,Ground Telescope
Planet-6720,Ice Giant,785.37,83.259,1996,Galileo
Planet-6721,Gas Giant,628.99,24.902,1921,Chandra
Planet-6722,Dwarf Planet,535.26,91.904,2019,Voyager
Planet-6723,Ice Giant,679.67,45.581,1968,Chandra
Planet-6724,Dwarf Planet,672.97,87.335,1933,Spitzer
Planet-6725,Exoplanet,44.72,53.987,1981,Spitzer
Planet-6726,Gas Giant,619.34,39.084,1977,Chandra
Planet-6727,Ice Giant,293.12,35.194,2014,Hubble
Planet-6728,Exoplanet,312.9,74.082,1981,Kepler
Planet-6729,Terrestrial,542.21,20.456,2016,Hubble
Planet-6730,Exoplanet,452.32,74.949,1942,James Webb
Planet-6731,Dwarf Planet,396.77,39.949,1937,Galileo
Planet-6732,Gas Giant,771.6,83.4,2022,Ground Telescope
Planet-6733,Exoplanet,635.66,62.989,1952,James Webb
Planet-6734,Ice Giant,36.02,98.553,1981,TESS
Planet-6735,Gas Giant,806.72,8.963,1905,Spitzer
Planet-6736,Terrestrial,144.18,14.785,1958,Chandra
Planet-6737,Terrestrial,222.15,52.255,1983,Chandra
Planet-6738,Dwarf Planet,811.66,82.314,1975,Chandra
Planet-6739,Gas Giant,699.28,60.444,1974,Spitzer
Planet-6740,Gas Giant,495.2,66.368,1959,Chandra
Planet-6741,Dwarf Planet,988.19,14.607,1965,Voyager
Planet-6742,Terrestrial,386.52,45.048,1911,Ground Telescope
Planet-6743,Terrestrial,836.71,94.045,1916,Chandra
Planet-6744,Gas Giant,484.79,32.144,1943,Chandra
Planet-6745,Exoplanet,392.67,89.856,1908,JWST
Planet-6746,Gas Giant,542.38,86.614,1982,James Webb
Planet-6747,Terrestrial,323.21,8.363,1951,Voyager
Planet-6748,Dwarf Planet,562.13,65.078,1936,TESS
Planet-6749,Ice Giant,505.51,90.677,1973,Galileo
Planet-6750,Ice Giant,207.35,56.332,1938,TESS
Planet-6751,Ice Giant,964.76,14.876,1943,Spitzer
Planet-6752,Exoplanet,591.45,16.841,1993,Kepler
Planet-6753,Ice Giant,515.64,13.566,1958,JWST
Planet-6754,Exoplanet,930.14,44.229,1965,Spitzer
Planet-6755,Terrestrial,376.2,44.659,1915,Galileo
Planet-6756,Gas Giant,785.61,27.124,2009,Voyager
Planet-6757,Dwarf Planet,906.41,23.773,1953,Kepler
Planet-6758,Exoplanet,588.42,96.095,1971,Hubble
Planet-6759,Exoplanet,204.43,61.722,2017,Galileo
Planet-6760,Gas Giant,71.71,44.038,1961,James Webb
Planet-6761,Terrestrial,854.48,72.236,1929,Chandra
Planet-6762,Terrestrial,915.28,49.475,1977,Spitzer
Planet-6763,Ice Giant,916.14,4.415,1935,TESS
Planet-6764,Ice Giant,911.75,70.396,1927,TESS
Planet-6765,Dwarf Planet,910.02,1.044,1910,TESS
Planet-6766,Gas Giant,558.73,25.185,2005,JWST
Planet-6767,Ice Giant,757.31,42.619,1959,JWST
Planet-6768,Exoplanet,522.69,53.6,1922,Ground Telescope
Planet-6769,Ice Giant,498.98,98.672,1911,James Webb
Planet-6770,Terrestrial,767.54,30.642,1965,Spitzer
Planet-6771,Dwarf Planet,95.06,79.23,2008,Kepler
Planet-6772,Ice Giant,337.59,81.682,1985,Ground Telescope
Planet-6773,Ice Giant,63.66,90.759,1912,Ground Telescope
Planet-6774,Ice Giant,413.96,39.764,1991,Galileo
Planet-6775,Dwarf Planet,597.15,61.831,2007,James Webb
Planet-6776,Exoplanet,838.68,33.451,2003,Galileo
Planet-6777,Ice Giant,170.81,20.262,1938,Chandra
Planet-6778,Dwarf Planet,641.47,84.325,1970,Galileo
Planet-6779,Ice Giant,157.74,68.294,1900,James Webb
Planet-6780,Gas Giant,339.22,94.448,1916,Chandra
Planet-6781,Gas Giant,477.84,75.323,1906,Kepler
Planet-6782,Exoplanet,83.48,59.301,1908,Kepler
Planet-6783,Ice Giant,719.89,95.087,1983,Spitzer
Planet-6784,Gas Giant,617.59,36.065,1925,Chandra
Planet-6785,Ice Giant,513.38,32.827,2006,TESS
Planet-6786,Gas Giant,247.92,45.649,1945,James Webb
Planet-6787,Dwarf Planet,233.71,90.336,2007,Kepler
Planet-6788,Gas Giant,675.27,27.656,1914,Galileo
Planet-6789,Ice Giant,886.49,27.518,2018,James Webb
Planet-6790,Terrestrial,651.94,92.83,1904,JWST
Planet-6791,Terrestrial,526.07,46.882,2006,Voyager
Planet-6792,Gas Giant,854.78,32.829,2017,Ground Telescope
Planet-6793,Ice Giant,147.48,70.564,1968,Ground Telescope
Planet-6794,Dwarf Planet,260.44,26.745,1903,Ground Telescope
Planet-6795,Ice Giant,829.27,53.759,1998,Hubble
Planet-6796,Ice Giant,112.52,56.53,2003,JWST
Planet-6797,Ice Giant,367.96,48.887,2024,James Webb
Planet-6798,Terrestrial,943.14,10.687,1987,Spitzer
Planet-6799,Ice Giant,135.12,3.448,1974,Chandra
Planet-6800,Gas Giant,297.35,82.9,1934,Ground Telescope
Planet-6801,Dwarf Planet,51.37,81.972,1950,JWST
Planet-6802,Terrestrial,24.74,21.069,1951,JWST
Planet-6803,Exoplanet,429.99,46.573,1913,Ground Telescope
Planet-6804,Terrestrial,247.22,95.157,2021,Kepler
Planet-6805,Exoplanet,177.94,54.724,1986,Chandra
Planet-6806,Ice Giant,109.08,91.278,1947,Chandra
Planet-6807,Gas Giant,265.3,31.81,2000,Kepler
Planet-6808,Dwarf Planet,218.36,11.478,1938,TESS
Planet-6809,Exoplanet,233.75,50.641,2007,James Webb
Planet-6810,Exoplanet,203.54,13.841,1937,Voyager
Planet-6811,Ice Giant,539.38,66.545,1957,Chandra
Planet-6812,Gas Giant,57.43,97.559,1996,TESS
Planet-6813,Exoplanet,160.21,82.049,1944,Galileo
Planet-6814,Gas Giant,487.73,58.448,1914,TESS
Planet-6815,Exoplanet,849.96,58.053,1945,James Webb
Planet-6816,Terrestrial,560.13,13.036,1992,Kepler
Planet-6817,Exoplanet,938.01,9.811,1959,TESS
Planet-6818,Dwarf Planet,541.92,56.897,1951,Hubble
Planet-6819,Dwarf Planet,571.64,19.618,1935,Hubble
Planet-6820,Gas Giant,9.03,70.783,1939,TESS
Planet-6821,Dwarf Planet,702.65,82.812,1999,Voyager
Planet-6822,Ice Giant,178.29,61.637,2023,JWST
Planet-6823,Dwarf Planet,979.54,77.845,1991,Spitzer
Planet-6824,Gas Giant,52.89,62.185,1951,Ground Telescope
Planet-6825,Ice Giant,827.11,85.927,2025,JWST
Planet-6826,Terrestrial,413.59,75.913,1918,JWST
Planet-6827,Exoplanet,287.5,3.725,1992,Chandra
Planet-6828,Terrestrial,588.03,21.533,1972,Hubble
Planet-6829,Dwarf Planet,663.08,41.708,2022,James Webb
Planet-6830,Exoplanet,18.85,66.126,1967,Voyager
Planet-6831,Dwarf Planet,329.45,2.006,1929,Galileo
Planet-6832,Exoplanet,32.44,58.86,1947,Chandra
Planet-6833,Gas Giant,732.86,84.004,2008,Ground Telescope
Planet-6834,Terrestrial,693.69,71.735,1928,Ground Telescope
Planet-6835,Gas Giant,193.91,34.639,1971,Chandra
Planet-6836,Terrestrial,562.53,49.797,1992,Chandra
Planet-6837,Dwarf Planet,930.16,69.071,1929,Kepler
Planet-6838,Ice Giant,954.96,92.614,1952,Spitzer
Planet-6839,Ice Giant,534.03,46.236,2005,Chandra
Planet-6840,Exoplanet,569.48,99.282,1959,Hubble
Planet-6841,Gas Giant,11.06,50.717,2016,TESS
Planet-6842,Exoplanet,18.37,24.103,1961,Kepler
Planet-6843,Dwarf Planet,234.76,62.107,1974,Chandra
Planet-6844,Exoplanet,394.95,53.192,1939,JWST
Planet-6845,Ice Giant,228.11,31.874,1937,Chandra
Planet-6846,Gas Giant,776.28,20.085,2010,James Webb
Planet-6847,Exoplanet,16.21,20.582,1905,James Webb
Planet-6848,Exoplanet,282.6,51.424,1924,JWST
Planet-6849,Terrestrial,165.62,63.702,1944,Spitzer
Planet-6850,Ice Giant,887.77,82.301,1935,James Webb
Planet-6851,Exoplanet,577.72,95.346,2021,Galileo
Planet-6852,Ice Giant,118.35,60.76,1997,Spitzer
Planet-6853,Gas Giant,674.05,12.126,1928,Kepler
Planet-6854,Ice Giant,77.37,88.93,2003,TESS
Planet-6855,Ice Giant,695.24,61.571,1945,Voyager
Planet-6856,Terrestrial,28.13,66.14,1989,Chandra
Planet-6857,Dwarf Planet,752.49,70.127,1944,Ground Telescope
Planet-6858,Gas Giant,333.92,72.195,1947,Spitzer
Planet-6859,Dwarf Planet,56.9,83.819,1955,Galileo
Planet-6860,Terrestrial,442.27,1.968,1944,Hubble
Planet-6861,Gas Giant,838.11,32.202,1927,Chandra
Planet-6862,Ice Giant,465.14,64.121,1912,Ground Telescope
Planet-6863,Ice Giant,937.33,29.199,2014,JWST
Planet-6864,Dwarf Planet,113.82,92.53,1921,Hubble
Planet-6865,Gas Giant,479.78,3.15,1920,Hubble
Planet-6866,Dwarf Planet,902.32,84.096,1953,Ground Telescope
Planet-6867,Ice Giant,836.66,59.497,2018,Spitzer
Planet-6868,Gas Giant,375.99,27.647,1990,Chandra
Planet-6869,Exoplanet,986.37,48.997,1907,James Webb
Planet-6870,Dwarf Planet,796.86,39.428,2005,Hubble
Planet-6871,Gas Giant,584.54,21.156,2018,Chandra
Planet-6872,Ice Giant,371.77,37.411,1959,Kepler
Planet-6873,Gas Giant,876.98,24.557,2013,TESS
Planet-6874,Gas Giant,269.72,74.173,1909,Chandra
Planet-6875,Terrestrial,704.37,52.589,1993,Galileo
Planet-6876,Dwarf Planet,589.37,45.444,1922,JWST
Planet-6877,Dwarf Planet,705.56,55.679,1992,Spitzer
Planet-6878,Exoplanet,129.39,77.223,1984,James Webb
Planet-6879,Exoplanet,998.36,59.735,1929,Galileo
Planet-6880,Dwarf Planet,209.2,92.59,1902,JWST
Planet-6881,Ice Giant,671.15,11.88,1973,JWST
Planet-6882,Ice Giant,556.27,43.989,2007,Hubble
Planet-6883,Gas Giant,762.28,89.202,1953,TESS
Planet-6884,Exoplanet,790.56,13.587,1928,Chandra
Planet-6885,Terrestrial,534.67,59.158,1912,Voyager
Planet-6886,Exoplanet,440.0,83.723,1923,JWST
Planet-6887,Exoplanet,326.78,84.81,1942,Ground Telescope
Planet-6888,Dwarf Planet,361.9,27.992,1924,Chandra
Planet-6889,Gas Giant,264.96,66.899,1941,Spitzer
Planet-6890,Ice Giant,900.6,23.856,1929,Ground Telescope
Planet-6891,Ice Giant,535.88,47.296,1948,Galileo
Planet-6892,Exoplanet,23.42,94.828,1901,Hubble
Planet-6893,Gas Giant,334.67,68.011,1994,James Webb
Planet-6894,Terrestrial,768.32,67.182,2019,Voyager
Planet-6895,Ice Giant,62.07,34.496,1982,Chandra
Planet-6896,Gas Giant,256.58,3.486,2002,Chandra
Planet-6897,Dwarf Planet,168.31,12.197,2014,James Webb
Planet-6898,Gas Giant,45.73,54.185,1945,Hubble
Planet-6899,Terrestrial,251.93,77.886,1962,Spitzer
Planet-6900,Ice Giant,487.42,14.692,1974,Kepler
Planet-6901,Terrestrial,615.14,51.157,2017,TESS
Planet-6902,Gas Giant,142.83,22.073,1954,Voyager
Planet-6903,Exoplanet,975.53,37.484,1900,James Webb
Planet-6904,Gas Giant,729.38,88.573,2014,Galileo
Planet-6905,Gas Giant,837.04,44.699,1963,Voyager
Planet-6906,Gas Giant,425.52,35.451,1937,Voyager
Planet-6907,Dwarf Planet,20.04,33.97,2017,Galileo
Planet-6908,Ice Giant,207.51,62.091,1977,Voyager
Planet-6909,Dwarf Planet,630.71,75.88,1934,JWST
Planet-6910,Gas Giant,871.42,9.681,1989,Kepler
Planet-6911,Exoplanet,496.96,70.3,1972,James Webb
Planet-6912,Dwarf Planet,604.96,10.53,1903,JWST
Planet-6913,Ice Giant,513.06,23.496,2016,Hubble
Planet-6914,Gas Giant,92.51,1.339,1931,TESS
Planet-6915,Ice Giant,635.56,60.419,1924,JWST
Planet-6916,Exoplanet,611.83,59.192,1964,Ground Telescope
Planet-6917,Dwarf Planet,393.31,73.359,2005,Spitzer
Planet-6918,Exoplanet,770.66,90.508,1960,Voyager
Planet-6919,Gas Giant,267.09,2.114,1990,James Webb
Planet-6920,Terrestrial,421.17,31.463,1965,Chandra
Planet-6921,Gas Giant,310.32,35.112,1968,Kepler
Planet-6922,Ice Giant,482.79,48.237,1963,TESS
Planet-6923,Terrestrial,573.17,21.215,1947,Voyager
Planet-6924,Dwarf Planet,187.2,47.148,1997,Galileo
Planet-6925,Terrestrial,202.24,21.094,1915,Voyager
Planet-6926,Terrestrial,831.34,70.439,1935,Galileo
Planet-6927,Gas Giant,7.54,17.939,1974,Kepler
Planet-6928,Dwarf Planet,667.6,32.309,1944,James Webb
Planet-6929,Terrestrial,378.55,10.083,1955,Voyager
Planet-6930,Terrestrial,311.76,33.004,1978,Galileo
Planet-6931,Terrestrial,504.21,76.714,1984,James Webb
Planet-6932,Dwarf Planet,984.12,55.319,1971,Spitzer
Planet-6933,Exoplanet,746.99,50.861,1973,James Webb
Planet-6934,Gas Giant,336.13,23.326,1975,JWST
Planet-6935,Gas Giant,285.83,14.897,1918,Galileo
Planet-6936,Gas Giant,211.03,64.297,1928,Galileo
Planet-6937,Terrestrial,390.65,39.326,1973,Hubble
Planet-6938,Ice Giant,263.82,12.803,2024,Chandra
Planet-6939,Ice Giant,688.07,82.909,1906,Chandra
Planet-6940,Dwarf Planet,262.03,80.116,2001,Kepler
Planet-6941,Gas Giant,425.28,26.614,1922,Kepler
Planet-6942,Exoplanet,854.26,8.536,1913,TESS
Planet-6943,Exoplanet,406.1,42.023,1988,Kepler
Planet-6944,Gas Giant,25.38,83.896,2013,Voyager
Planet-6945,Terrestrial,444.96,95.458,1971,Ground Telescope
Planet-6946,Ice Giant,736.41,61.507,2005,Ground Telescope
Planet-6947,Gas Giant,624.26,99.759,1932,James Webb
Planet-6948,Gas Giant,317.65,1.633,1987,Galileo
Planet-6949,Gas Giant,39.86,19.209,1936,TESS
Planet-6950,Terrestrial,174.8,58.184,1972,Chandra
Planet-6951,Gas Giant,618.49,66.198,1955,JWST
Planet-6952,Dwarf Planet,566.17,6.881,1952,Chandra
Planet-6953,Dwarf Planet,871.92,33.695,2008,Spitzer
Planet-6954,Exoplanet,323.13,91.775,1934,Spitzer
Planet-6955,Terrestrial,550.56,26.883,2001,Voyager
Planet-6956,Ice Giant,633.41,79.582,2012,TESS
Planet-6957,Exoplanet,480.32,11.237,1921,Chandra
Planet-6958,Dwarf Planet,348.16,74.022,1919,Ground Telescope
Planet-6959,Gas Giant,570.9,66.368,1920,James Webb
Planet-6960,Gas Giant,119.38,40.123,2020,Voyager
Planet-6961,Gas Giant,203.62,34.829,1905,Hubble
Planet-6962,Terrestrial,578.79,37.201,1991,Spitzer
Planet-6963,Terrestrial,155.36,95.8,1949,Spitzer
Planet-6964,Dwarf Planet,897.37,62.732,1987,James Webb
Planet-6965,Ice Giant,662.55,69.062,1980,Kepler
Planet-6966,Exoplanet,157.16,11.094,2025,Galileo
Planet-6967,Gas Giant,949.16,1.714,1954,Ground Telescope
Planet-6968,Ice Giant,500.64,73.123,1900,Voyager
Planet-6969,Ice Giant,35.01,75.652,1925,Voyager
Planet-6970,Gas Giant,571.2,70.946,1977,JWST
Planet-6971,Gas Giant,750.82,11.028,1983,Voyager
Planet-6972,Ice Giant,649.85,23.468,1966,Kepler
Planet-6973,Dwarf Planet,837.87,97.216,1986,Ground Telescope
Planet-6974,Exoplanet,993.56,86.845,2011,Galileo
Planet-6975,Exoplanet,629.36,4.077,1986,James Webb
Planet-6976,Ice Giant,619.17,78.209,1946,Galileo
Planet-6977,Ice Giant,139.11,45.978,1985,Hubble
Planet-6978,Gas Giant,878.64,87.349,1971,TESS
Planet-6979,Exoplanet,596.11,7.753,1900,Hubble
Planet-6980,Gas Giant,939.05,94.213,1913,Hubble
Planet-6981,Gas Giant,675.91,96.418,1902,TESS
Planet-6982,Exoplanet,314.01,49.005,1976,Voyager
Planet-6983,Exoplanet,233.03,57.816,1943,Hubble
Planet-6984,Gas Giant,608.1,7.835,2021,TESS
Planet-6985,Gas Giant,856.71,73.521,1949,TESS
Planet-6986,Dwarf Planet,880.59,86.846,1932,Hubble
Planet-6987,Terrestrial,670.7,23.701,1905,Ground Telescope
Planet-6988,Exoplanet,248.67,98.148,1904,Hubble
Planet-6989,Dwarf Planet,730.5,69.549,1900,Chandra
Planet-6990,Exoplanet,969.07,68.407,1967,Voyager
Planet-6991,Dwarf Planet,724.86,14.933,1961,TESS
Planet-6992,Ice Giant,507.14,99.578,1960,Chandra
Planet-6993,Exoplanet,645.89,66.682,2008,Chandra
Planet-6994,Gas Giant,318.54,50.337,2017,James Webb
Planet-6995,Dwarf Planet,414.97,89.712,1969,JWST
Planet-6996,Gas Giant,63.91,92.574,2022,James Webb
Planet-6997,Dwarf Planet,585.18,49.213,1912,Ground Telescope
Planet-6998,Exoplanet,770.35,13.256,1910,Kepler
Planet-6999,Terrestrial,327.57,21.988,2011,Kepler
Planet-7000,Dwarf Planet,639.13,40.47,1995,Chandra
Planet-7001,Gas Giant,98.9,86.102,1995,Ground Telescope
Planet-7002,Exoplanet,24.99,49.919,1935,James Webb
Planet-7003,Gas Giant,244.36,9.41,1908,James Webb
Planet-7004,Exoplanet,122.66,29.535,1981,James Webb
Planet-7005,Ice Giant,522.45,51.417,1939,TESS
Planet-7006,Ice Giant,599.03,58.573,2009,JWST
Planet-7007,Gas Giant,87.36,85.618,2006,Spitzer
Planet-7008,Ice Giant,184.93,28.446,1998,James Webb
Planet-7009,Dwarf Planet,139.5,92.259,1970,Kepler
Planet-7010,Dwarf Planet,572.57,23.917,1914,Kepler
Planet-7011,Dwarf Planet,461.81,17.446,2024,Voyager
Planet-7012,Dwarf Planet,823.95,12.765,1965,Hubble
Planet-7013,Terrestrial,880.59,54.324,1962,TESS
Planet-7014,Gas Giant,693.86,42.471,1929,Kepler
Planet-7015,Gas Giant,756.64,67.904,2016,Galileo
Planet-7016,Gas Giant,611.61,1.251,1934,Galileo
Planet-7017,Ice Giant,549.33,38.634,1978,JWST
Planet-7018,Gas Giant,383.67,10.538,2005,James Webb
Planet-7019,Gas Giant,797.28,43.724,1990,Hubble
Planet-7020,Dwarf Planet,280.27,97.096,2013,JWST
Planet-7021,Ice Giant,238.23,6.558,2010,Ground Telescope
Planet-7022,Gas Giant,435.68,72.937,1919,Chandra
Planet-7023,Dwarf Planet,688.57,12.34,1906,Hubble
Planet-7024,Terrestrial,817.44,45.118,1967,Galileo
Planet-7025,Gas Giant,427.55,53.73,1935,Ground Telescope
Planet-7026,Dwarf Planet,543.62,74.216,1911,Voyager
Planet-7027,Ice Giant,648.72,52.568,1945,Chandra
Planet-7028,Dwarf Planet,717.92,20.58,1905,Kepler
Planet-7029,Ice Giant,325.7,28.687,1971,Hubble
Planet-7030,Exoplanet,834.84,75.904,1926,Ground Telescope
Planet-7031,Gas Giant,905.62,80.506,1954,Kepler
Planet-7032,Dwarf Planet,578.44,81.211,1959,Galileo
Planet-7033,Exoplanet,244.5,14.795,1933,Kepler
Planet-7034,Terrestrial,588.85,14.37,1903,Hubble
Planet-7035,Dwarf Planet,370.89,90.236,1932,Voyager
Planet-7036,Dwarf Planet,965.68,17.315,1914,JWST
Planet-7037,Exoplanet,546.29,2.355,1992,Voyager
Planet-7038,Dwarf Planet,415.98,37.395,1999,Ground Telescope
Planet-7039,Dwarf Planet,468.25,30.344,1924,Chandra
Planet-7040,Terrestrial,11.96,9.849,1973,JWST
Planet-7041,Exoplanet,109.9,87.45,1957,Hubble
Planet-7042,Gas Giant,335.16,72.639,1979,Hubble
Planet-7043,Terrestrial,144.74,52.636,1931,Hubble
Planet-7044,Terrestrial,16.13,8.446,1946,TESS
Planet-7045,Gas Giant,268.75,82.195,2007,Galileo
Planet-7046,Exoplanet,145.76,75.923,1981,Hubble
Planet-7047,Dwarf Planet,863.18,33.977,1969,JWST
Planet-7048,Exoplanet,584.44,64.675,1998,Kepler
Planet-7049,Gas Giant,801.62,98.419,1942,TESS
Planet-7050,Ice Giant,959.27,7.777,1973,Hubble
Planet-7051,Ice Giant,684.98,84.642,2025,TESS
Planet-7052,Exoplanet,524.38,96.516,1905,JWST
Planet-7053,Terrestrial,315.0,8.024,1958,Chandra
Planet-7054,Terrestrial,392.38,84.881,1912,Ground Telescope
Planet-7055,Terrestrial,794.58,81.801,1930,Hubble
Planet-7056,Ice Giant,557.43,61.493,1964,Hubble
Planet-7057,Dwarf Planet,320.06,47.799,1909,Kepler
Planet-7058,Exoplanet,143.71,87.16,1950,JWST
Planet-7059,Exoplanet,297.23,36.798,1922,Hubble
Planet-7060,Ice Giant,880.81,8.749,1917,Hubble
Planet-7061,Terrestrial,131.25,4.197,2004,JWST
Planet-7062,Ice Giant,316.26,88.01,2010,Ground Telescope
Planet-7063,Dwarf Planet,31.19,86.801,1940,Hubble
Planet-7064,Ice Giant,398.97,23.173,1922,James Webb
Planet-7065,Ice Giant,980.73,62.684,1945,Chandra
Planet-7066,Terrestrial,855.03,86.735,1994,Spitzer
Planet-7067,Dwarf Planet,863.53,52.465,1925,Spitzer
Planet-7068,Gas Giant,188.44,86.451,1916,Voyager
Planet-7069,Exoplanet,105.0,84.182,1999,Chandra
Planet-7070,Dwarf Planet,991.64,28.396,1945,Hubble
Planet-7071,Gas Giant,309.56,70.015,2024,Kepler
Planet-7072,Dwarf Planet,492.93,31.77,1967,Spitzer
Planet-7073,Gas Giant,937.08,68.458,1917,Ground Telescope
Planet-7074,Ice Giant,693.29,45.958,1958,TESS
Planet-7075,Exoplanet,967.02,44.758,1986,James Webb
Planet-7076,Exoplanet,151.34,79.796,1947,Chandra
Planet-7077,Gas Giant,534.97,52.855,1919,Voyager
Planet-7078,Dwarf Planet,723.83,66.266,1963,Voyager
Planet-7079,Dwarf Planet,633.75,62.722,2001,Spitzer
Planet-7080,Ice Giant,695.92,51.495,1954,Galileo
Planet-7081,Exoplanet,391.73,86.478,1924,Spitzer
Planet-7082,Terrestrial,384.3,41.444,1981,Spitzer
Planet-7083,Terrestrial,475.24,13.208,1998,Galileo
Planet-7084,Ice Giant,206.07,32.954,1995,Voyager
Planet-7085,Exoplanet,184.54,92.849,2005,Kepler
Planet-7086,Exoplanet,731.17,86.488,1958,Ground Telescope
Planet-7087,Gas Giant,344.44,23.216,1966,Chandra
Planet-7088,Dwarf Planet,749.2,72.825,1924,Hubble
Planet-7089,Exoplanet,555.18,65.484,1923,Hubble
Planet-7090,Gas Giant,415.01,64.108,1952,TESS
Planet-7091,Dwarf Planet,758.22,46.236,1940,TESS
Planet-7092,Terrestrial,395.12,63.658,1945,Hubble
Planet-7093,Dwarf Planet,260.28,22.188,1983,James Webb
Planet-7094,Gas Giant,907.65,53.884,1927,Hubble
Planet-7095,Terrestrial,282.59,53.843,2013,Galileo
Planet-7096,Exoplanet,32.09,11.445,1992,TESS
Planet-7097,Terrestrial,481.06,18.937,1973,Voyager
Planet-7098,Dwarf Planet,659.91,40.074,1933,Voyager
Planet-7099,Terrestrial,100.77,65.338,2017,Voyager
Planet-7100,Terrestrial,448.09,26.633,1997,Chandra
Planet-7101,Gas Giant,892.76,10.888,1998,Hubble
Planet-7102,Ice Giant,650.2,5.781,1902,Spitzer
Planet-7103,Exoplanet,852.4,69.591,1914,James Webb
Planet-7104,Ice Giant,555.49,68.211,1920,Chandra
Planet-7105,Exoplanet,731.62,48.957,1944,Kepler
Planet-7106,Exoplanet,971.05,23.105,1987,Galileo
Planet-7107,Terrestrial,78.42,49.318,1992,Kepler
Planet-7108,Dwarf Planet,927.59,46.652,1926,Galileo
Planet-7109,Gas Giant,712.81,67.889,1948,Ground Telescope
Planet-7110,Dwarf Planet,825.01,92.2,2017,Galileo
Planet-7111,Terrestrial,540.77,18.057,1956,Galileo
Planet-7112,Dwarf Planet,157.02,32.548,1969,Ground Telescope
Planet-7113,Terrestrial,224.07,73.695,2008,Galileo
Planet-7114,Terrestrial,4.51,26.869,1991,Chandra
Planet-7115,Exoplanet,749.64,89.993,1914,JWST
Planet-7116,Ice Giant,694.12,11.915,2025,JWST
Planet-7117,Gas Giant,432.83,33.034,1902,Kepler
Planet-7118,Dwarf Planet,253.54,65.171,1924,TESS
Planet-7119,Gas Giant,891.32,42.522,1966,TESS
Planet-7120,Gas Giant,991.89,10.141,1901,James Webb
Planet-7121,Exoplanet,15.58,78.077,1916,JWST
Planet-7122,Dwarf Planet,798.99,32.284,1967,Galileo
Planet-7123,Dwarf Planet,452.77,17.781,1939,TESS
Planet-7124,Terrestrial,810.74,51.874,1932,Chandra
Planet-7125,Gas Giant,246.04,51.746,1974,Galileo
Planet-7126,Exoplanet,657.36,28.646,1997,Kepler
Planet-7127,Exoplanet,802.98,1.661,1991,JWST
Planet-7128,Ice Giant,703.19,27.421,1908,Kepler
Planet-7129,Gas Giant,660.95,6.452,1988,Hubble
Planet-7130,Dwarf Planet,628.68,16.043,1919,Ground Telescope
Planet-7131,Exoplanet,223.69,35.951,1914,JWST
Planet-7132,Ice Giant,352.99,99.449,1918,Spitzer
Planet-7133,Ice Giant,649.24,24.193,1949,Hubble
Planet-7134,Terrestrial,371.3,91.413,1908,James Webb
Planet-7135,Exoplanet,818.0,85.923,2018,TESS
Planet-7136,Exoplanet,59.69,74.085,2018,Hubble
Planet-7137,Terrestrial,301.99,35.328,1927,James Webb
Planet-7138,Dwarf Planet,810.75,53.743,2017,Voyager
Planet-7139,Exoplanet,132.53,19.503,2015,TESS
Planet-7140,Dwarf Planet,711.49,12.556,1970,TESS
Planet-7141,Dwarf Planet,354.51,8.095,1964,Hubble
Planet-7142,Terrestrial,480.39,72.333,2009,JWST
Planet-7143,Ice Giant,163.1,95.591,1922,Hubble
Planet-7144,Gas Giant,684.01,8.286,1945,JWST
Planet-7145,Dwarf Planet,426.82,72.019,1909,Voyager
Planet-7146,Ice Giant,869.96,39.914,1995,TESS
Planet-7147,Terrestrial,34.11,4.91,1999,Galileo
Planet-7148,Gas Giant,337.14,1.608,1900,Ground Telescope
Planet-7149,Exoplanet,738.54,70.965,1946,TESS
Planet-7150,Gas Giant,788.49,90.527,2002,Kepler
Planet-7151,Gas Giant,85.95,60.66,1987,Hubble
